date,close,high,low
2022-06-12,10097.55,10235.66,10089.31
2022-06-13,10014.85,10097.55,9964.5
2022-06-14,9981.22,10014.85,9931.46
2022-06-15,9969.97,10008.18,9924.78
2022-06-16,9866.75,9975.09,9866.75
2022-06-19,9728.19,9866.75,9720.87
2022-06-20,9680.18,9746.62,9671.52
2022-06-21,9697.88,9755.15,9680.18
2022-06-22,9612.9,9697.88,9612.9
2022-06-23,9439.85,9612.9,9439.85
2022-06-26,9443.75,9512.56,9435.92
2022-06-27,9255.43,9446.37,9227.13
2022-06-28,9179.63,9255.45,9008.2
2022-06-29,9225.61,9248.26,9169.59
2022-07-03,9008.89,9226.42,8924.34
2022-07-04,8685.74,9020.14,8685.74
2022-07-05,8657.5,8756.83,8616.19
2022-07-06,8670.12,8708.97,8599.25
2022-07-07,8764.25,8815.14,8667.88
2022-07-17,8772.93,8824.35,8739.75
2022-07-18,8867.94,8922.35,8772.93
2022-07-19,9033.53,9055.5,8864.78
2022-07-20,9112.72,9159.64,9033.53
2022-07-21,9289.81,9289.81,9112.72
2022-07-24,9276.28,9298.72,9256.23
2022-07-25,9237.7,9308.54,9237.7
2022-07-26,9350.42,9440.91,9237.26
2022-07-27,9287.92,9411.03,9286.78
2022-07-28,9369.32,9369.32,9282.7
2022-07-31,9467.08,9504.77,9369.32
2022-08-01,9423.1,9581.75,9395.47
2022-08-02,9442.02,9457.85,9392.23
2022-08-03,9539.43,9539.43,9442.02
2022-08-04,10043.23,10043.55,9539.43
2022-08-07,10123.81,10175.48,10043.23
2022-08-08,10047.71,10134.67,10043.21
2022-08-09,9968.88,10153.15,9968.88
2022-08-10,9965.46,10061.2,9940.43
2022-08-11,9988.84,10000.3,9955.78
2022-08-14,9984.44,10065.41,9984.44
2022-08-15,9914.71,10010.23,9871.69
2022-08-16,9843.17,9926.53,9820.36
2022-08-17,10058.12,10063.58,9833.85
2022-08-18,10094.16,10153.07,10058.12
2022-08-21,10339.58,10339.58,10094.16
2022-08-22,10246.24,10372.6,10226.88
2022-08-23,10137.89,10295.24,10137.89
2022-08-24,10105.24,10219.61,10087.67
2022-08-25,10287.27,10291.79,10105.24
2022-08-28,10178.15,10301.19,10178.15
2022-08-29,10122.32,10234.99,10122.32
2022-08-30,10132.15,10157.37,10063.26
2022-08-31,9998.61,10163.07,9998.61
2022-09-01,9936.87,10064.53,9920.52
2022-09-04,9996.74,10009.98,9905.05
2022-09-05,10177.64,10177.64,9996.72
2022-09-06,10329.66,10329.66,10177.64
2022-09-07,10232.29,10362.45,10226.81
2022-09-08,10265.35,10320.73,10231.45
2022-09-11,10356.31,10363.27,10265.35
2022-09-12,10434.1,10464.53,10356.31
2022-09-13,10397.12,10456.38,10387.56
2022-09-14,10193.79,10397.12,10164.46
2022-09-15,10079.02,10213.43,10039.41
2022-09-18,9763.19,10093.41,9706.67
2022-09-19,9854.21,9865.9,9627.85
2022-09-20,10010.53,10010.53,9830.26
2022-09-21,9955.85,10045.01,9955.85
2022-09-22,9933.05,9971.83,9875.76
2022-09-25,9895.04,9933.05,9777.76
2022-09-26,9827.8,9906.36,9827.8
2022-09-27,9817.37,9873.7,9812.5
2022-09-28,9702.19,9828.62,9696.15
2022-09-29,9827.46,9827.46,9702.19
2022-10-02,9687.36,9829.1,9687.36
2022-10-03,9685.85,9717.6,9653.33
2022-10-04,9923.81,9923.81,9685.85
2022-10-05,10010.78,10010.78,9923.81
2022-10-09,9940.86,10010.78,9934.61
2022-10-10,9948.53,10004.9,9940.86
2022-10-11,9867.23,9962.73,9866.62
2022-10-12,9800.64,9876.21,9746.95
2022-10-13,9853.74,9853.74,9769.0
2022-10-16,10048.88,10048.88,9853.6
2022-10-17,10148.4,10153.65,10039.81
2022-10-18,10163.56,10173.18,10085.33
2022-10-19,10156.34,10174.99,10116.51
2022-10-20,10273.53,10277.11,10156.34
2022-10-23,10258.24,10323.37,10257.53
2022-10-24,10320.88,10368.53,10258.24
2022-10-25,10475.02,10475.02,10294.24
2022-10-26,10553.2,10580.49,10475.02
2022-10-27,11072.02,11072.02,10553.2
2022-10-30,11100.67,11245.6,11072.02
2022-10-31,11372.79,11372.79,11076.58
2022-11-01,11432.79,11440.39,11368.19
2022-11-02,11242.07,11437.23,11238.76
2022-11-03,11262.4,11262.4,11173.57
2022-11-06,11179.2,11284.94,11178.67
2022-11-07,11443.71,11443.71,11179.2
2022-11-08,11268.04,11531.06,11250.07
2022-11-09,11781.58,11781.58,11232.62
2022-11-10,11756.56,11816.82,11575.97
2022-11-13,11980.62,11980.62,11756.56
2022-11-14,12136.37,12140.72,11973.06
2022-11-15,12137.0,12147.84,12041.57
2022-11-16,12341.2,12341.2,12100.48
2022-11-17,12515.71,12515.71,12341.2
2022-11-20,12523.84,12650.43,12515.71
2022-11-21,12449.9,12531.03,12413.3
2022-11-22,12622.34,12642.4,12446.09
2022-11-23,12600.09,12793.86,12600.09
2022-11-24,12779.44,12779.44,12600.09
2022-11-27,13009.48,13009.48,12779.44
2022-11-28,12917.22,13049.62,12881.26
2022-11-29,13184.26,13184.26,12917.22
2022-11-30,13259.26,13314.43,13180.52
2022-12-01,13639.73,13639.73,13259.02
2022-12-04,14078.53,14078.53,13639.73
2022-12-05,14327.77,14375.4,14078.53
2022-12-06,14498.29,14566.65,14327.77
2022-12-07,14787.05,14913.71,14498.29
2022-12-08,14838.31,14919.25,14575.05
2022-12-11,14587.7,15060.84,14587.7
2022-12-12,14723.71,14752.2,14274.95
2022-12-13,15150.31,15186.36,14723.71
2022-12-14,15378.28,15378.28,15111.87
2022-12-15,15141.55,15595.3,15141.55
2022-12-18,14843.05,15180.4,14843.05
2022-12-19,14738.6,14917.8,14576.96
2022-12-20,14523.26,14847.62,14523.26
2022-12-21,14541.98,14591.36,14301.75
2022-12-22,14482.93,14756.69,14358.18
2022-12-25,14385.3,14482.93,14202.72
2022-12-26,14560.41,14586.1,14385.3
2022-12-27,14485.18,14632.48,14485.18
2022-12-28,14578.21,14615.64,14485.18
2022-12-29,14598.53,14690.74,14559.17
2023-01-02,14960.66,14961.16,14598.53
2023-01-03,15068.13,15175.32,14960.66
2023-01-04,15557.46,15599.24,14598.76
2023-01-05,16002.18,16028.66,15557.46
2023-01-09,16096.87,16274.94,16002.18
2023-01-10,15462.57,16115.2,15462.57
2023-01-11,15528.1,16138.84,15302.01
2023-01-12,15551.47,15799.26,15434.43
2023-01-15,15561.25,15663.54,15498.9
2023-01-16,15837.91,15914.29,15561.25
2023-01-17,15981.88,16062.53,15837.91
2023-01-18,15987.15,16086.53,15919.66
2023-01-19,16065.98,16118.6,15987.15
2023-01-22,16118.85,16220.25,16065.98
2023-01-23,16183.49,16241.01,16118.85
2023-01-24,16440.53,16440.53,16183.49
2023-01-25,16791.11,16840.13,16440.53
2023-01-29,17411.46,17411.46,16791.11
2023-01-30,17026.64,17764.02,17026.64
2023-01-31,16446.38,17033.99,16427.05
2023-02-01,16407.79,16610.08,16282.46
2023-02-02,16255.73,16615.32,16198.9
2023-02-05,16265.92,16266.18,15748.89
2023-02-06,16587.06,16587.06,16265.92
2023-02-07,16900.43,16959.9,16587.06
2023-02-08,16948.08,17081.29,16669.71
2023-02-09,17613.78,17613.78,16948.08
2023-02-12,17287.09,17613.78,17198.46
2023-02-13,17214.56,17450.5,17113.22
2023-02-14,17430.98,17438.31,17214.56
2023-02-15,17522.56,17657.23,17419.11
2023-02-16,17488.87,17724.83,17488.87
2023-02-19,17326.61,17620.62,17326.61
2023-02-20,16814.0,17404.04,16798.65
2023-02-21,17039.45,17046.37,16714.32
2023-02-22,16777.2,17102.87,16674.32
2023-02-23,17003.9,17003.9,16733.06
2023-02-26,17213.01,17295.35,16992.99
2023-02-27,17098.16,17359.92,17098.16
2023-02-28,17002.08,17162.15,16936.69
2023-03-01,17123.01,17128.64,16976.78
2023-03-02,16846.79,17183.44,16846.79
2023-03-05,16827.65,16929.88,16714.01
2023-03-06,16803.89,17056.93,16803.89
2023-03-07,16432.56,16871.83,16401.62
2023-03-08,16315.62,16532.41,16226.61
2023-03-09,16454.31,16555.5,16283.78
2023-03-12,15936.89,16468.36,15936.89
2023-03-13,15438.5,16088.99,15274.66
2023-03-14,15362.25,15505.62,15281.67
2023-03-15,14724.44,15703.78,14724.44
2023-03-16,14704.18,15052.08,14611.93
2023-03-19,14681.12,14780.21,14426.31
2023-03-20,14923.81,15165.16,14662.13
2023-03-21,15325.66,15403.92,14923.81
2023-03-22,15253.22,15488.01,15154.04
2023-03-23,15625.08,15625.08,15200.44
2023-03-26,15989.18,16013.47,15625.08
2023-03-27,15950.09,16100.07,15902.33
2023-03-28,15906.42,15998.32,15696.82
2023-03-29,16411.37,16411.37,15906.42
2023-03-30,16418.53,16644.45,16284.65
2023-04-02,16694.46,16694.46,16416.13
2023-04-03,17056.89,17107.27,16694.46
2023-04-04,16998.35,17111.67,16928.03
2023-04-05,17019.25,17075.79,16963.89
2023-04-06,16709.28,17036.12,16709.28
2023-04-09,16674.87,16756.83,16610.53
2023-04-10,16774.64,16838.78,16674.87
2023-04-11,17011.68,17011.68,16774.64
2023-04-12,16741.45,17011.68,16696.78
2023-04-13,17671.27,17671.27,16741.45
2023-04-18,17538.97,17671.27,17175.23
2023-04-19,17516.04,17644.11,17428.16
2023-04-26,17452.22,17557.18,17361.47
2023-04-27,17796.91,17850.55,17452.22
2023-04-30,17667.74,18142.59,17613.85
2023-05-01,17310.83,17691.82,17294.11
2023-05-02,17300.56,17366.95,17207.96
2023-05-03,17295.27,17420.52,17205.08
2023-05-07,17235.31,17295.27,17109.64
2023-05-08,17642.97,17642.97,17235.31
2023-05-09,17326.27,17832.46,17276.23
2023-05-10,17494.73,17494.73,17204.43
2023-05-11,17270.69,17556.44,17204.93
2023-05-14,17369.13,17372.23,17151.67
2023-05-15,17135.55,17521.98,17135.55
2023-05-16,17033.99,17139.09,16904.18
2023-05-17,16844.01,17105.57,16807.1
2023-05-18,16745.54,16875.38,16562.77
2023-05-21,16860.88,16936.58,16745.54
2023-05-22,16764.41,17033.69,16748.38
2023-05-23,16787.71,16790.33,16636.86
2023-05-24,17090.56,17090.56,16787.71
2023-05-25,17043.62,17240.66,17043.62
2023-05-28,17131.45,17161.31,17043.62
2023-05-29,17211.84,17217.43,17065.03
2023-05-30,17534.59,17544.85,17211.84
2023-05-31,17495.77,17745.99,17495.77
2023-06-01,17533.31,17628.94,17495.77
2023-06-04,17455.48,17706.61,17452.89
2023-06-05,17345.9,17570.55,17341.72
2023-06-06,17491.18,17637.07,17345.9
2023-06-07,17347.57,17601.64,17315.65
2023-06-08,17521.36,17521.36,17307.67
2023-06-11,17739.63,17825.96,17521.36
2023-06-12,17704.58,17856.21,17656.21
2023-06-13,17866.81,17948.86,17704.58
2023-06-14,17873.28,18056.61,17848.92
2023-06-15,17881.52,17892.05,17739.67
2023-06-18,18026.17,18096.2,17881.52
2023-06-19,17988.95,18217.64,17872.61
2023-06-20,17921.92,18070.84,17860.93
2023-06-21,17706.08,17933.32,17685.24
2023-06-22,17712.93,17720.4,17580.15
2023-06-25,17287.64,17743.13,17287.64
2023-06-26,17665.29,17665.29,17287.64
2023-07-04,17466.18,17729.98,17376.11
2023-07-05,17380.33,17564.19,17380.33
2023-07-06,17102.3,17429.64,17079.39
2023-07-09,16555.12,17104.24,16555.12
2023-07-10,16963.13,16970.39,16544.84
2023-07-11,17155.23,17223.79,16904.23
2023-07-12,17144.22,17205.71,17063.6
2023-07-13,17342.29,17448.88,17144.22
2023-07-16,17343.13,17437.19,17342.29
2023-07-17,17512.01,17667.81,17324.47
